id,label,item_id,kind,course_id,section_index,section_slug,section_title,section_chunk_index,week,order,tags,source_path,metrics
30,Removed Clips for Video Lecture 23: Social Psychology II,social-psychology-ii-removed-clips,lecture,9.00sc-fall-2011,24,social-psychology-ii,Social Psychology II,0,24,30,,pages/social-psychology-ii/removed-clips,
31,Discussion: Stress,stress-discussion-stress,recitation,9.00sc-fall-2011,25,stress,Stress,0,25,31,,pages/stress/discussion-stress,
32,Meet Professor John Gabrieli,syllabus-meet-professor-john-gabrieli,insight,9.00sc-fall-2011,26,syllabus,Syllabus,0,26,32,,pages/syllabus/meet-professor-john-gabrieli,
33,Meet the TAs,syllabus-meet-the-tas,exam,9.00sc-fall-2011,26,syllabus,Syllabus,0,26,33,,pages/syllabus/meet-the-tas,
34,Syllabus,syllabus-syllabus,recitation,9.00sc-fall-2011,26,syllabus,Syllabus,0,26,34,,pages/syllabus/syllabus,
35,Discussion: Vision,vision-ii-discussion-vision,recitation,9.00sc-fall-2011,29,vision-ii,Vision II,0,29,35,,pages/vision-ii/discussion-vision,
36,Removed Clips for Video Lecture 6: Vision II,vision-ii-removed-clips,lecture,9.00sc-fall-2011,29,vision-ii,Vision II,0,29,36,,pages/vision-ii/removed-clips,
37,Writing Assignment 1,vision-ii-writing-assignment-1,exam,9.00sc-fall-2011,29,vision-ii,Vision II,0,1,37,,pages/vision-ii/writing-assignment-1,
38,A Mnemonist's Memory,a-mnemonists-memory,concept,9.00sc-fall-2011,30,resources,Resources,7,30,38,,resources/a-mnemonists-memory,
39,ADHD: Diagnosis,adhd-diagnosis,concept,9.00sc-fall-2011,30,resources,Resources,7,30,39,,resources/adhd-diagnosis,
40,ADHD: Treatments and Studies,adhd-treatments-and-studies,concept,9.00sc-fall-2011,30,resources,Resources,7,30,40,,resources/adhd-treatments-and-studies,
41,Anterograde Amnesia: Patient H.M. and the Role of the Hippocampus in Memory Formation,anterograde-amnesia-patient-h-m,concept,9.00sc-fall-2011,30,resources,Resources,7,30,41,,resources/anterograde-amnesia-patient-h-m,
42,Attention and Extinction to Certain Stimulation,attention-and-extinction-to-certain-stimulation,concept,9.00sc-fall-2011,30,resources,Resources,7,30,42,,resources/attention-and-extinction-to-certain-stimulation,
43,Attention and Neglect; Measures of Neglect,attention-and-neglect-measures-of-neglect,concept,9.00sc-fall-2011,30,resources,Resources,8,30,43,,resources/attention-and-neglect-measures-of-neglect,
44,Attitudes, Emotions, and Aging,attitudes-emotions-and-aging,concept,9.00sc-fall-2011,30,resources,Resources,8,30,44,,resources/attitudes-emotions-and-aging,
45,Babies and Mathematicians,babies-and-mathematicians,concept,9.00sc-fall-2011,30,resources,Resources,8,30,45,,resources/babies-and-mathematicians,
46,Brain Basis of Emotions,brain-basis-of-emotions,lecture,9.00sc-fall-2011,30,resources,Resources,0,30,46,,resources/brain-basis-of-emotions,
47,Brain Correlates of Personality,brain-correlates-of-personality,lecture,9.00sc-fall-2011,30,resources,Resources,0,30,47,,resources/brain-correlates-of-personality,
48,Brain Development: Cell Migration, Synaptic Formation, and Myelination,brain-development-cell-migration-synaptic-formation-and-myelination,lecture,9.00sc-fall-2011,30,resources,Resources,0,30,48,,resources/brain-development-cell-migration-synaptic-formation-and-myelination,
49,Brain Imaging, Gender Differences, and Emotion,brain-imaging-gender-differences-and-emotion,lecture,9.00sc-fall-2011,30,resources,Resources,0,30,49,,resources/brain-imaging-gender-differences-and-emotion,
50,Brain Lesions and the Visual System,brain-lesions-and-the-visual-system,lecture,9.00sc-fall-2011,30,resources,Resources,0,30,50,,resources/brain-lesions-and-the-visual-system,
51,Brain Overview: Historical Viewpoints, Neurons, Gross Anatomy,brain-overview-historical-viewpoints-neurons-gross-anatomy,lecture,9.00sc-fall-2011,30,resources,Resources,1,30,51,,resources/brain-overview-historical-viewpoints-neurons-gross-anatomy,
52,Brightness Constancy and Other Illusions,brightness-constancy-and-other-illusions,concept,9.00sc-fall-2011,30,resources,Resources,8,30,52,,resources/brightness-constancy-and-other-illusions,
53,Brocas Aphasia,brocas-aphasia,concept,9.00sc-fall-2011,30,resources,Resources,8,30,53,,resources/brocas-aphasia,
54,Bystanders and Helping: The Bystander Effect,bystanders-and-helping-the-bystander-effect,concept,9.00sc-fall-2011,30,resources,Resources,9,30,54,,resources/bystanders-and-helping-the-bystander-effect,
55,Causes and Description of Blindsight,causes-and-description-of-blindsight,concept,9.00sc-fall-2011,30,resources,Resources,9,30,55,,resources/causes-and-description-of-blindsight,
56,Causes and Extent of Neglect,causes-and-extent-of-neglect,concept,9.00sc-fall-2011,30,resources,Resources,9,30,56,,resources/causes-and-extent-of-neglect,
57,Cognitive Dissonance,cognitive-dissonance,concept,9.00sc-fall-2011,30,resources,Resources,9,30,57,,resources/cognitive-dissonance,
58,Cognitive Loss,cognitive-loss,concept,9.00sc-fall-2011,30,resources,Resources,9,30,58,,resources/cognitive-loss,
59,Concepts of Stress,concepts-of-stress,concept,9.00sc-fall-2011,30,resources,Resources,10,30,59,,resources/concepts-of-stress,
60,Contributions from Nature and Nurture,contributions-from-nature-and-nurture,concept,9.00sc-fall-2011,30,resources,Resources,10,30,60,,resources/contributions-from-nature-and-nurture,
61,Cultural Psychology,cultural-psychology,concept,9.00sc-fall-2011,30,resources,Resources,10,30,61,,resources/cultural-psychology,
62,Demonstrations of the Limits of Attention,demonstrations-of-the-limits-of-attention,concept,9.00sc-fall-2011,30,resources,Resources,10,30,62,,resources/demonstrations-of-the-limits-of-attention,
63,Depression: Diagnosis and Neural Basis,depression-diagnosis-and-neural-basis,concept,9.00sc-fall-2011,30,resources,Resources,10,30,63,,resources/depression-diagnosis-and-neural-basis,
64,Depression: Treatments and Studies,depression-treatments-and-studies,concept,9.00sc-fall-2011,30,resources,Resources,11,30,64,,resources/depression-treatments-and-studies,
65,Description of Schizophrenia and Genetic Factors,description-of-schizophrenia-and-genetic-factors,concept,9.00sc-fall-2011,30,resources,Resources,11,30,65,,resources/description-of-schizophrenia-and-genetic-factors,
66,Dopamine and Reward Systems,dopamine-and-reward-systems,concept,9.00sc-fall-2011,30,resources,Resources,11,30,66,,resources/dopamine-and-reward-systems,
67,Embodied Cognition,embodied-cognition,concept,9.00sc-fall-2011,30,resources,Resources,11,30,67,,resources/embodied-cognition,
68,Evolutionary Psychology: Views on Sexuality and Race,evolutionary-psychology-views-on-sexuality-and-race,concept,9.00sc-fall-2011,30,resources,Resources,11,30,68,,resources/evolutionary-psychology-views-on-sexuality-and-race,
69,False Consensus and the Influence of Social Norms on Behavior,false-consensus-and-the-influence-of-social-norms-on-behavior,concept,9.00sc-fall-2011,30,resources,Resources,12,30,69,,resources/false-consensus-and-the-influence-of-social-norms-on-behavior,
70,First Impressions: How Powerful, How Accurate?,first-impressions-how-powerful-how-accurate,concept,9.00sc-fall-2011,30,resources,Resources,12,30,70,,resources/first-impressions-how-powerful-how-accurate,
71,Flashbulb and Repressed Memories,flashbulb-and-repressed-memories,concept,9.00sc-fall-2011,30,resources,Resources,12,30,71,,resources/flashbulb-and-repressed-memories,
72,Folk Psychology and Scientific Psychology,folk-psychology-and-scientific-psychology,concept,9.00sc-fall-2011,30,resources,Resources,12,30,72,,resources/folk-psychology-and-scientific-psychology,
73,From Sound to Meaning: Syntax, Semantics, and Comprehension,from-sound-to-meaning-syntax-semantics-and-comprehension,concept,9.00sc-fall-2011,30,resources,Resources,12,30,73,,resources/from-sound-to-meaning-syntax-semantics-and-comprehension,
74,Frontal Lobes and Thinking,frontal-lobes-and-thinking,concept,9.00sc-fall-2011,30,resources,Resources,13,30,75,,resources/frontal-lobes-and-thinking,
75,Frontal Lobes and Thinking,frontal-lobes-and-thinking-1,concept,9.00sc-fall-2011,30,resources,Resources,13,1,74,,resources/frontal-lobes-and-thinking-1,
76,Fundamental Attribution Error and Cognitive Busyness,fundamental-attribution-error-and-cognitive-busyness,concept,9.00sc-fall-2011,30,resources,Resources,13,30,76,,resources/fundamental-attribution-error-and-cognitive-busyness,
77,Goals of the Course,goals-of-the-course,concept,9.00sc-fall-2011,30,resources,Resources,13,30,77,,resources/goals-of-the-course,
78,"Good Memories of Bad Events in Infancy",good-memories-of-bad-events-in-infancy,concept,9.00sc-fall-2011,30,resources,Resources,13,30,78,,resources/good-memories-of-bad-events-in-infancy,
79,Gradual Change Test 1,gradual-change-test-1,concept,9.00sc-fall-2011,30,resources,Resources,14,1,79,,resources/gradual-change-test-1,
80,Happiness: Can It Be Measured and Studied?,happiness-can-it-be-measured-and-studied,concept,9.00sc-fall-2011,30,resources,Resources,14,30,80,,resources/happiness-can-it-be-measured-and-studied,
81,Hemispheric Specialization,hemispheric-specialization,concept,9.00sc-fall-2011,30,resources,Resources,14,30,81,,resources/hemispheric-specialization,
82,How are Mental Disorders Diagnosed?,how-are-mental-disorders-diagnosed,concept,9.00sc-fall-2011,30,resources,Resources,14,30,82,,resources/how-are-mental-disorders-diagnosed,
83,How Babies Learn,how-babies-learn,concept,9.00sc-fall-2011,30,resources,Resources,14,30,83,,resources/how-babies-learn,
84,How Development is Studied,how-development-is-studied,concept,9.00sc-fall-2011,30,resources,Resources,15,30,84,,resources/how-development-is-studied,
85,How Infants Learn Dr Renee Baillargeon,how-infants-learn-dr-renee-baillargeon,concept,9.00sc-fall-2011,30,resources,Resources,15,30,85,,resources/how-infants-learn-dr-renee-baillargeon,
86,How Our Minds Make our Worlds: Hearing, Learning, Memory,how-our-minds-make-our-worlds-hearing-learning-memory,concept,9.00sc-fall-2011,30,resources,Resources,15,30,86,,resources/how-our-minds-make-our-worlds-hearing-learning-memory,
87,How Our Minds Make Our Worlds: Vision, Memory, Attention,how-our-minds-make-our-worlds-vision-memory-attention,concept,9.00sc-fall-2011,30,resources,Resources,15,30,87,,resources/how-our-minds-make-our-worlds-vision-memory-attention,
88,How We Feel vs. How We Act,how-we-feel-vs,concept,9.00sc-fall-2011,30,resources,Resources,15,30,88,,resources/how-we-feel-vs,
89,Hypnosis and the Stroop Effect,hypnosis-and-the-stroop-effect,concept,9.00sc-fall-2011,30,resources,Resources,16,30,89,,resources/hypnosis-and-the-stroop-effect,
90,Influencing Decisions: Anchoring, Adjustment, and Framing,influencing-decisions-anchoring-adjustment-and-framing,concept,9.00sc-fall-2011,30,resources,Resources,16,30,91,,resources/influencing-decisions-anchoring-adjustment-and-framing,
91,Influencing Decisions: Anchoring, Adjustment, and Framing,influencing-decisions-anchoring-adjustment-and-framing-1,concept,9.00sc-fall-2011,30,resources,Resources,16,1,90,,resources/influencing-decisions-anchoring-adjustment-and-framing-1,
92,Inside NOVA: Change Blindness,inside-nova-change-blindness,concept,9.00sc-fall-2011,30,resources,Resources,16,30,92,,resources/inside-nova-change-blindness,
93,Interventions, Effort and Practice: Does Head Start Help?,interventions-effort-and-practice-does-head-start-help,concept,9.00sc-fall-2011,30,resources,Resources,16,30,93,,resources/interventions-effort-and-practice-does-head-start-help,
94,Introduction and Neotony,introduction-and-neotony,concept,9.00sc-fall-2011,30,resources,Resources,17,30,94,,resources/introduction-and-neotony,
95,Introduction to Recognition,introduction-to-recognition,concept,9.00sc-fall-2011,30,resources,Resources,17,30,95,,resources/introduction-to-recognition,
96,Introduction to Vision and the Brain,introduction-to-vision-and-the-brain,lecture,9.00sc-fall-2011,30,resources,Resources,1,30,96,,resources/introduction-to-vision-and-the-brain,
97,IQ Tests: Validity and Value,iq-tests-validity-and-value,concept,9.00sc-fall-2011,30,resources,Resources,17,30,97,,resources/iq-tests-validity-and-value,
98,Is Language Learning a Conditioned Skill?,is-language-learning-a-conditioned-skill,concept,9.00sc-fall-2011,30,resources,Resources,17,30,98,,resources/is-language-learning-a-conditioned-skill,
99,Judgement and Decision Making: Heuristics,judgement-and-decision-making-heuristics,concept,9.00sc-fall-2011,30,resources,Resources,17,30,100,,resources/judgement-and-decision-making-heuristics,
100,Judgement and Decision Making: Heuristics,judgement-and-decision-making-heuristics-1,concept,9.00sc-fall-2011,30,resources,Resources,18,1,99,,resources/judgement-and-decision-making-heuristics-1,
101,lang_disc.mp3,lang_disc,concept,9.00sc-fall-2011,30,resources,Resources,18,30,101,,resources/lang_disc,
102,Language Acquisition: Infants, Bilingualism, and the Case of Genie,language-acquisition-infants-bilingualism-and-the-case-of-genie,concept,9.00sc-fall-2011,30,resources,Resources,18,30,102,,resources/language-acquisition-infants-bilingualism-and-the-case-of-genie,
103,Language Basics: Sounds We Hear and Distinguish,language-basics-sounds-we-hear-and-distinguish,concept,9.00sc-fall-2011,30,resources,Resources,18,30,103,,resources/language-basics-sounds-we-hear-and-distinguish,
104,Lecture 1: Introduction,lecture-1-introduction,lecture,9.00sc-fall-2011,30,resources,Resources,1,1,104,,resources/lecture-1-introduction,
105,Lecture 10: Memory I,lecture-10-memory-i,lecture,9.00sc-fall-2011,30,resources,Resources,1,10,105,,resources/lecture-10-memory-i,
106,Lecture 11: Memory II: Amnesia and Memory Systems,lecture-11-memory-ii-amnesia-and-memory-systems,lecture,9.00sc-fall-2011,30,resources,Resources,1,11,106,,resources/lecture-11-memory-ii-amnesia-and-memory-systems,
107,Lecture 12: Language,lecture-12-language,lecture,9.00sc-fall-2011,30,resources,Resources,2,12,107,,resources/lecture-12-language,
108,Lecture 13: Thinking,lecture-13-thinking,lecture,9.00sc-fall-2011,30,resources,Resources,2,13,108,,resources/lecture-13-thinking,
109,Lecture 14: Intelligence,lecture-14-intelligence,lecture,9.00sc-fall-2011,30,resources,Resources,2,14,109,,resources/lecture-14-intelligence,
110,Lecture 15: Emotion & Motivation,lecture-15-emotion-and-motivation,lecture,9.00sc-fall-2011,30,resources,Resources,2,15,110,,resources/lecture-15-emotion-and-motivation,
111,Lecture 16: Personality,lecture-16-personality,lecture,9.00sc-fall-2011,30,resources,Resources,2,16,111,,resources/lecture-16-personality,
112,Lecture 17: Child Development,lecture-17-child-development,lecture,9.00sc-fall-2011,30,resources,Resources,3,17,112,,resources/lecture-17-child-development,
113,Lecture 18: Adult Development,lecture-18-adult-development,lecture,9.00sc-fall-2011,30,resources,Resources,3,18,113,,resources/lecture-18-adult-development,
114,Lecture 19: Stress,lecture-19-stress,lecture,9.00sc-fall-2011,30,resources,Resources,3,19,114,,resources/lecture-19-stress,
115,Lecture 2: Science and Research,lecture-2-science-and-research,lecture,9.00sc-fall-2011,30,resources,Resources,3,2,115,,resources/lecture-2-science-and-research,
116,Lecture 20: Psychopathology I,lecture-20-psychopathology-i,lecture,9.00sc-fall-2011,30,resources,Resources,3,20,116,,resources/lecture-20-psychopathology-i,
117,Lecture 21: Psychopathology II,lecture-21-psychopathology-ii,lecture,9.00sc-fall-2011,30,resources,Resources,4,21,117,,resources/lecture-21-psychopathology-ii,
118,Lecture 22: Social Psychology I,lecture-22-social-psychology-i,lecture,9.00sc-fall-2011,30,resources,Resources,4,22,118,,resources/lecture-22-social-psychology-i,
119,Lecture 23: Social Psychology II,lecture-23-social-psychology-ii,lecture,9.00sc-fall-2011,30,resources,Resources,4,23,119,,resources/lecture-23-social-psychology-ii,
120,Lecture 24: Conclusions,lecture-24-conclusions,lecture,9.00sc-fall-2011,30,resources,Resources,4,24,120,,resources/lecture-24-conclusions,
121,Lecture 3: Brain I,lecture-3-brain-i,lecture,9.00sc-fall-2011,30,resources,Resources,4,3,121,,resources/lecture-3-brain-i,
122,Lecture 4: Brain II,lecture-4-brain-ii,lecture,9.00sc-fall-2011,30,resources,Resources,5,4,122,,resources/lecture-4-brain-ii,
123,Lecture 5: Vision I,lecture-5-vision-i,lecture,9.00sc-fall-2011,30,resources,Resources,5,5,123,,resources/lecture-5-vision-i,
124,Lecture 6: Vision II,lecture-6-vision-ii-1,lecture,9.00sc-fall-2011,30,resources,Resources,5,6,124,,resources/lecture-6-vision-ii-1,
125,Lecture 7: Attention,lecture-7-attention,lecture,9.00sc-fall-2011,30,resources,Resources,5,7,125,,resources/lecture-7-attention,
126,Lecture 8: Consciousness,lecture-8-consciousness,lecture,9.00sc-fall-2011,30,resources,Resources,5,8,126,,resources/lecture-8-consciousness,
127,Lecture 9: Learning,lecture-9-learning,lecture,9.00sc-fall-2011,30,resources,Resources,6,9,127,,resources/lecture-9-learning,
128,Lesion (Injury) and Stimulation Studies,lesion-injury-and-stimulation-studies,concept,9.00sc-fall-2011,30,resources,Resources,18,30,128,,resources/lesion-injury-and-stimulation-studies,
129,Limits of Conditioning,limits-of-conditioning,concept,9.00sc-fall-2011,30,resources,Resources,19,30,129,,resources/limits-of-conditioning,
130,Little Things Can Influence Behavior,little-things-can-influence-behavior,concept,9.00sc-fall-2011,30,resources,Resources,19,30,130,,resources/little-things-can-influence-behavior,
131,Localization of Mental Functions,localization-of-mental-functions,concept,9.00sc-fall-2011,30,resources,Resources,19,30,131,,resources/localization-of-mental-functions,
132,Long Term or Secondary Memory,long-term-or-secondary-memory,concept,9.00sc-fall-2011,30,resources,Resources,19,30,132,,resources/long-term-or-secondary-memory,
133,Measures of Personality,measures-of-personality,concept,9.00sc-fall-2011,30,resources,Resources,19,30,133,,resources/measures-of-personality,
134,memory_disc_1.mp3,memory_disc_1,concept,9.00sc-fall-2011,30,resources,Resources,20,1,134,,resources/memory_disc_1,
135,memory_disc_2.mp3,memory_disc_2,concept,9.00sc-fall-2011,30,resources,Resources,20,2,135,,resources/memory_disc_2,
136,Methods of Studying the Human Brain,methods-of-studying-the-human-brain,lecture,9.00sc-fall-2011,30,resources,Resources,6,30,136,,resources/methods-of-studying-the-human-brain,
137,Milgram Obedience Study and Stanford Prison Experiment,milgram-obedience-study-and-stanford-prison-experiment,concept,9.00sc-fall-2011,30,resources,Resources,20,30,137,,resources/milgram-obedience-study-and-stanford-prison-experiment,
138,MIT9_00SCF11_exam1.pdf,mit9_00scf11_exam1,exam,9.00sc-fall-2011,30,resources,Resources,44,30,138,,resources/mit9_00scf11_exam1,
139,MIT9_00SCF11_exam1_2009.pdf,mit9_00scf11_exam1_2009,exam,9.00sc-fall-2011,30,resources,Resources,44,2009,139,,resources/mit9_00scf11_exam1_2009,
140,MIT9_00SCF11_exam1_2009sol.pdf,mit9_00scf11_exam1_2009sol,exam,9.00sc-fall-2011,30,resources,Resources,44,30,140,,resources/mit9_00scf11_exam1_2009sol,
141,MIT9_00SCF11_exam1_2010.pdf,mit9_00scf11_exam1_2010,exam,9.00sc-fall-2011,30,resources,Resources,44,2010,141,,resources/mit9_00scf11_exam1_2010,
142,MIT9_00SCF11_exam1_2010sol.pdf,mit9_00scf11_exam1_2010sol,exam,9.00sc-fall-2011,30,resources,Resources,44,30,142,,resources/mit9_00scf11_exam1_2010sol,
143,MIT9_00SCF11_exam1_sol.pdf,mit9_00scf11_exam1_sol,exam,9.00sc-fall-2011,30,resources,Resources,45,30,143,,resources/mit9_00scf11_exam1_sol,
144,MIT9_00SCF11_exam2.pdf,mit9_00scf11_exam2,exam,9.00sc-fall-2011,30,resources,Resources,45,30,144,,resources/mit9_00scf11_exam2,
145,MIT9_00SCF11_exam2_2009.pdf,mit9_00scf11_exam2_2009,exam,9.00sc-fall-2011,30,resources,Resources,45,2009,145,,resources/mit9_00scf11_exam2_2009,
146,MIT9_00SCF11_exam2_2009sol.pdf,mit9_00scf11_exam2_2009sol,exam,9.00sc-fall-2011,30,resources,Resources,45,30,146,,resources/mit9_00scf11_exam2_2009sol,
147,MIT9_00SCF11_exam2_2010.pdf,mit9_00scf11_exam2_2010,exam,9.00sc-fall-2011,30,resources,Resources,45,2010,147,,resources/mit9_00scf11_exam2_2010,
148,MIT9_00SCF11_exam2_2010sol.pdf,mit9_00scf11_exam2_2010sol,exam,9.00sc-fall-2011,30,resources,Resources,46,30,148,,resources/mit9_00scf11_exam2_2010sol,
149,MIT9_00SCF11_exam2_sol.pdf,mit9_00scf11_exam2_sol,exam,9.00sc-fall-2011,30,resources,Resources,46,30,149,,resources/mit9_00scf11_exam2_sol,
150,MIT9_00SCF11_exam3.pdf,mit9_00scf11_exam3,exam,9.00sc-fall-2011,30,resources,Resources,46,30,150,,resources/mit9_00scf11_exam3,
151,MIT9_00SCF11_exam3_2009.pdf,mit9_00scf11_exam3_2009,exam,9.00sc-fall-2011,30,resources,Resources,46,2009,151,,resources/mit9_00scf11_exam3_2009,
152,MIT9_00SCF11_exam3_2009sol.pdf,mit9_00scf11_exam3_2009sol,exam,9.00sc-fall-2011,30,resources,Resources,46,30,152,,resources/mit9_00scf11_exam3_2009sol,
153,MIT9_00SCF11_exam3_2010.pdf,mit9_00scf11_exam3_2010,exam,9.00sc-fall-2011,30,resources,Resources,47,2010,153,,resources/mit9_00scf11_exam3_2010,
154,MIT9_00SCF11_exam3_2010sol.pdf,mit9_00scf11_exam3_2010sol,exam,9.00sc-fall-2011,30,resources,Resources,47,30,154,,resources/mit9_00scf11_exam3_2010sol,
155,MIT9_00SCF11_exam3_sol.pdf,mit9_00scf11_exam3_sol,exam,9.00sc-fall-2011,30,resources,Resources,47,30,155,,resources/mit9_00scf11_exam3_sol,
156,MIT9_00SCF11_lec01.pdf,mit9_00scf11_lec01,concept,9.00sc-fall-2011,30,resources,Resources,20,1,156,,resources/mit9_00scf11_lec01,
157,MIT9_00SCF11_lec02_scires.pdf,mit9_00scf11_lec02_scires,concept,9.00sc-fall-2011,30,resources,Resources,20,2,157,,resources/mit9_00scf11_lec02_scires,
158,MIT9_00SCF11_lec03_brain1.pdf,mit9_00scf11_lec03_brain1,lecture,9.00sc-fall-2011,30,resources,Resources,6,3,158,,resources/mit9_00scf11_lec03_brain1,
159,MIT9_00SCF11_lec04_brain2.pdf,mit9_00scf11_lec04_brain2,lecture,9.00sc-fall-2011,30,resources,Resources,6,4,159,,resources/mit9_00scf11_lec04_brain2,
160,MIT9_00SCF11_lec05_vis1.pdf,mit9_00scf11_lec05_vis1,concept,9.00sc-fall-2011,30,resources,Resources,21,5,160,,resources/mit9_00scf11_lec05_vis1,
161,MIT9_00SCF11_lec06_vis2.pdf,mit9_00scf11_lec06_vis2,concept,9.00sc-fall-2011,30,resources,Resources,21,6,161,,resources/mit9_00scf11_lec06_vis2,
162,MIT9_00SCF11_lec07_attn.pdf,mit9_00scf11_lec07_attn,concept,9.00sc-fall-2011,30,resources,Resources,21,7,162,,resources/mit9_00scf11_lec07_attn,
